Main URL,Record ID,Main Title,Publication Place,Publisher,Publication Date,Physical Description,Topical Subject,Resource URL,Alternative URL,Subtitle,Responsibility,Personal Author,Corporate Author,Abstract/Summary,Bibliography Note,Variant Title,Subject Source,System Control Number,Material Type,Language,ISSN/ISBN,Ilo Name,Leader (Format),Year
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995382276202676,995382276202676,Minutes of the first session of the Governing Body of the International Labour Office,Washington :,"ILO,",1919.,1 online resource (11 p.),ILO Governing Body,https://webapps.ilo.org/intranet/libdoc/ilo/P/09601/09601(1919-1).pdf,https://webapps.ilo.org/intranet/libdoc/ilo/P/09601/09601(1919-1).pdf,,"Governing Body, 1st Session, Washington, November 1919 ; International Labour Office.",,International Labour Organization.,,,,ilot,,[electronic resource] /,,,,01276nam a2200325 a 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/991861243402676,991861243402676,Minutes of the Governing Body.,Geneva :,"ILO,",1919-,,ILO Governing Body,https://webapps.ilo.org/public/libdoc/ilo/P/09601/,https://webapps.ilo.org/public/libdoc/ilo/P/09601/,,,,International Labour Organisation.,,,,ilot,094673,,,,P09601,01717cas a22004454u 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995091492402676,995091492402676,Official bulletin,Geneva :,ILO.,,,ILO,,,,,,International Labour Office.,,,,ilot,(SzGeILO)186156-ilodb,[electronic resource] / International Labour Office.,,,,03306cas a22008534u 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992269113402676,992269113402676,Part XIII (Labour) of the Treaty of Versailles of 28 June 1919.,Geneva :,"ILO,",1920.,19 p.,ILO,http://www.ilo.org/public/libdoc/ilo/1920/20B09_4_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_4_engl.pdf,,,,International Labour Organisation.,"Provides the text of Part XIII of the Treaty of Versailles concerning the creation of the ILO in 1919. Includes an annex announcing the First Meeting of the Annual Labour Conference, 1919, and resolutions adopted by the Commission on International Labour Legislation of the Peace Conference.",,,ilot,154753,,,,20B09/4 ENGL,02333cam a22007694u 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/994128703402676,994128703402676,Procès-verbaux des commissions /,Geneva :,"ILO,",1919-1957.,,ILO,,,,Conférence internationale du Travail = Minutes of the Committees / International Labour Conference = Actas de las comisiones  / Conferencia Internacional del Trabajo.,,International Labour Office.,,References.,Minutes of the Committees.,ilot,412870,,eng,,P09999,01876cas a2200601 a 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/994691463402676,994691463402676,Record of proceedings :,"Washington, D.C. :","ILO,",1920.,1 v.,International Labour Conference,,,"International Labour Conference, 1st Session, Washington, D.C., 1919 /",International Labour Office.,,International Labour Office.,,References.,"International Labour Conference, 1st Session, Washington, D.C. 1919 :",ilot,469146,,,,09616(1919-1),01871cam a2200517 a 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/991900673402676,991900673402676,Record of proceedings  /,Geneva :,"ILO,",1919-2014,,International Labour Conference,http://www.ilo.org/public/libdoc/ilo/P/09616/,http://www.ilo.org/public/libdoc/ilo/P/09616/,,International Labour Office.,,League of Nations.,,,International Labour Conference :,ilot,101350,,,0074-6681,ILC-ROP,02473cas a22006614i 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995017392702676,995017392702676,Report on the eight-hours day or forty-eight hours week,London :,"Harrison,",[1919],"1 online resource (III, 156 p.)",hours of work,,,,"prepared by the Organising Committee for the International Labour Conference, Washington, 1919.",,League of Nations.,Presents replies to a questionnaire received from 27 member States concerning legislation on the limitation of hours of work to eight hours a day or 48 hours a week.,,,ilot,,[electronic resource] /,,,,03699cam a22009974u 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995017592802676,995017592802676,Report on the employment of women and children and the Berne conventions of 1906,London :,"Harrison,",[1919],1 online resource (161 p.),women workers.,,,,"prepared by the Organising Committee for the International Labour Conference, Washington, 1919.",,League of Nations.,Summarizes national laws and regulations in the form of synoptic tables. Includes the text of the Berne Convention of 1906 on the prohibition of night work for women in industrial employment and on the prohibition of the use of White (yellow) phosphorus in the manufacture of matches.,,,ilot,,[electronic resource] /,,,,06767cam a22018494u 4500,1918
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993080403402676,993080403402676,Report on unemployment /,London :,"Harrison,",[1919],150 p.,unemployment,,,,"prepared by the Organising Committee for the International Labour conference, Washington, 1919.",,League of Nations.,Presents replies to a questionnaire received from 27 member States to determine the nature and extent of unemployment and measures taken for the prevention of unemployment and for provision against it.,,,ilot,259093,,,,19B09/2 ENGL,04668cam a22013214u 4500,1918
